0,AggregatedData
std,7.359800721939872,342357.09531397675,0.0004285323638745961,6.714720097293665e-06,9.52665338451593e-05,0.00019149226280512144,0.00018414459710585935,0.006474861711598639,0.0015802281942854175,0.0041969168118436845,0.0007967843236136509,0.009700859673369231,0.012568086092834739,0.012568086092834737,1.9975568410769526,0.0008815580231428199
min,1990.0,4375099.0,0.00229147948947193,1.4025772637737295e-05,0.00026607182876555314,0.0006330298717165433,0.001233056016365983,0.022974716029709887,0.003806549654922063,0.017634954948285497,0.0014691832993364146,0.544802592844317,0.026941314994599494,0.9223128905319239,5.7,0.0011617521391278159
25%,1996.0,4658000.0,0.0026294525541391564,2.1071210539129908e-05,0.00033987802333158634,0.0007539319114019663,0.001410763491479145,0.028640947147082603,0.005087356449983747,0.02160067259304041,0.0019529181040584492,0.5509860211669481,0.039521830822903684,0.9489001179305956,8.1,0.0013909826250598667
50%,2002.0,5024791.0,0.0028078176571136905,2.438504685702873e-05,0.0004130981333177467,0.0008202268742927454,0.0015670358588785519,0.032076160910535445,0.005717423413519378,0.024037098237435307,0.002754741440987297,0.5597633019487629,0.04565444925299288,0.9543455507470071,9.8,0.002204901413301128
75%,2008.0,5220393.0,0.0031601985559566786,2.9557761732851985e-05,0.0004553327699945462,0.0010530082535642326,0.0017088886011711402,0.04059043613017489,0.007624516960068699,0.028759360630610905,0.003414533622559653,0.5691004859704613,0.05109988206940445,0.9604781691770963,11.0,0.0029015625
max,2014.0,5457173.0,0.0035903218743157436,3.947939262472885e-05,0.0006189949081248616,0.001236876355748373,0.0018410714285714287,0.04252678571428571,0.009072023284501676,0.030078125,0.003847788750536711,0.5771448817591762,0.0776871094680761,0.9730586850054005,13.0,0.003908893709327549
0,Mississippi
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,2826360.8,0.0035161467346927094,9.675269663756132e-05,0.00036922804682277996,0.0010794594643132374,0.0019627950919041733,0.03522008388952225,0.010557680356868372,0.021895273082993206,0.002767130449660669,0.45146778962716533,0.07080399974949964,0.9291960002505002,20.323999999999998,0.0004478926558833804
std,7.359800721939872,137937.49166953607,0.0007764966131138954,2.5657523025191765e-05,6.041288011231532e-05,0.0002228870671661724,0.0005373774151734029,0.004872397275674474,0.0015063139550174855,0.003076449042879368,0.0008852797784714917,0.013403868312065042,0.015116257549094509,0.015116257549094502,3.0265877375905257,0.00015472877745785856
min,1990.0,2573216.0,0.0026014163973949005,6.571824623068594e-05,0.00024263035365880558,0.0007624437040633528,0.0013760609170417417,0.02725347118480479,0.00813338592602266,0.017251251485877882,0.0014495471211639238,0.41682834688062675,0.05114640230143264,0.8961226320365404,14.9,0.00023998657725504867
25%,1996.0,2716000.0,0.002862808757193438,7.693366259496161e-05,0.00033570506193097825,0.0008628749351895774,0.0015336936667335766,0.03016298808009654,0.009403807195834519,0.01934811916602285,0.0020756127740539465,0.44468964662981036,0.06095576665932756,0.9193977320453591,18.1,0.0003042865102669829
50%,2002.0,2866733.0,0.0034035230621914368,8.964170736868896e-05,0.00037431563376597607,0.0010477714354162398,0.0017828657220606175,0.03643460830792313,0.010318201068898728,0.022513771996939557,0.002862011860342067,0.45267529150900726,0.06564414783592866,0.9343558521640714,20.1,0.00041908879268339144
75%,2008.0,2938618.0,0.004106831395348837,0.00012163767052590998,0.00040108639512849626,0.0012332848837209303,0.002304131599081867,0.0392108845601363,0.011445494186046512,0.0245812916654603,0.0033653404743687835,0.46322529069767443,0.08060226795464091,0.9390442333406724,22.6,0.0006125324434556915
max,2014.0,2994079.0,0.005027808676307008,0.00015324091420007493,0.00046257716049382714,0.0016245784938179093,0.003199110122358176,0.04343349569127014,0.013319444444444445,0.026459722742600226,0.004887635315657373,0.46788047958036716,0.10387736796345959,0.9488535976985674,25.7,0.000662037037037037
0,Missouri
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,5636358.16,0.005602260722010893,7.444317341591992e-05,0.0002864885191755885,0.0014914108941657639,0.003741336197154089,0.03953264034118729,0.008289055557166181,0.027002523431117843,0.004241061352903267,0.5200720771707296,0.05795110541816153,0.9420488945818384,12.703999999999999,0.0010672026763202667
std,7.359800721939872,316308.2497204639,0.001061417870105898,1.7039934397166314e-05,4.0125282044758255e-05,0.0004970604888128549,0.0005381176704850533,0.004847810763497972,0.0016045814238023952,0.0028251180033670403,0.0009913515156687513,0.012745001299710988,0.015650682245707086,0.015650682245707103,2.556279849051482,0.0003099108382951657
min,1990.0,5117073.0,0.004336866825466751,5.0531507531467666e-05,0.0002410054513932033,0.0009075393425583842,0.0029869723604145433,0.02906479974153921,0.005814708087899757,0.02055251436071937,0.0025513464505813295,0.499628696307989,0.032927604640171235,0.9041546267359748,9.2,0.0006140982793438596
25%,1996.0,5359000.0,0.004900745407786605,6.243179496513941e-05,0.00025679169765876813,0.001169043803997899,0.0033541096736912075,0.03662660140520214,0.007371431097041804,0.02537415811780388,0.0035112291839525813,0.510525515116503,0.047851100877848884,0.9377315619415271,10.4,0.0007275195702264034
50%,2002.0,5669544.0,0.005389675077925139,6.646228825865341e-05,0.0002777540204439532,0.0013073442058629148,0.003715602604008402,0.040659354614762666,0.007637602993323881,0.027778372181887657,0.00447695465571935,0.5185428413136158,0.05622248263716474,0.9437775173628352,12.2,0.0011956682710107368
75%,2008.0,5911605.0,0.005909498040679231,8.079865646575854e-05,0.0003036532806887571,0.0017059152827019967,0.00392656864137697,0.04350993504012228,0.008941780182869938,0.028780451684561274,0.0049693923111186564,0.5293042967829511,0.062268438058472916,0.9521488991221512,15.2,0.0013207688001492816
max,2014.0,6063589.0,0.007630476929042265,0.00011272449369507069,0.00037040545661235315,0.002511050794881737,0.004673710740597131,0.04652617293524622,0.012532570763861961,0.03151147602164583,0.005584722760759985,0.5427906325807054,0.09584537326402522,0.9670723953598288,17.5,0.0015986575811517136
0,Montana
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,915683.64,0.002592753315828153,3.117315325566917e-05,0.00030573735010274843,0.0002431309305445116,0.0020050239584571174,0.03411704928678731,0.004663379386928564,0.027348676596431202,0.0021049933034275625,0.5122299925368113,0.053999140478311725,0.9460008595216882,14.24,0.0005281049107367534
std,7.359800721939872,65107.127879672276,0.0007990961960469599,8.262555381473268e-06,6.41690165587441e-05,4.978842899805492e-05,0.0007670870985220907,0.007985434173564303,0.001255957950152127,0.006519128909551104,0.00035755334446058265,0.008377041428812232,0.010192416565951908,0.01019241656595192,1.6332482971061075,0.00010973738743708198
min,1990.0,799065.0,0.0013208191126279864,1.7575232981682212e-05,0.00019453924914675767,0.0001554051735795059,0.0008748577929465301,0.023940854012410955,0.003354826810949946,0.01913363877927204,0.001452388422188967,0.4997259615525524,0.03492558055674293,0.9270192136719351,10.5,0.0003165253770780579
25%,1996.0,879000.0,0.0017710280373831775,2.522811259407563e-05,0.00026551724137931036,0.00020364050056882822,0.0011418355184743742,0.027185148432977757,0.003780555472933541,0.021535185644587777,0.0018534503145249018,0.5045146514989394,0.04713759724449195,0.9401414429391068,13.4,0.00046411146944513355
50%,2002.0,910372.0,0.0027876844615681447,2.9797377830750894e-05,0.0002945237992491261,0.0002432503254647595,0.002194118879345513,0.03158159521602158,0.0040535376227934725,0.02601024636082832,0.00207589769505651,0.5132077875857342,0.053059135118292494,0.9469408648817075,14.1,0.0005314995147888651
75%,2008.0,967440.0,0.0031144050277019763,3.614767399487485e-05,0.0003668558747558053,0.0002707359373070723,0.002492144215661953,0.04276678043230944,0.005583617747440273,0.034022727272727274,0.00233373786407767,0.5181439606438527,0.059858557060893124,0.952862402755508,15.4,0.0006090584028605483
max,2014.0,1023579.0,0.0037980458542523393,4.880704323177714e-05,0.0004200945896701671,0.0003271028037383178,0.003147638331657725,0.04841705607476635,0.0072172897196261685,0.03833761682242991,0.0028621495327102804,0.5262982717274456,0.0729807863280649,0.9650744194432571,17.0,0.0008139021583187501
0,Nebraska
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,1723430.84,0.0033178651363258123,3.125198238436565e-05,0.00030187508262262544,0.000639885534921485,0.0023348708219933455,0.034958801393115004,0.005739341167503353,0.02635096001967698,0.0028685002059346694,0.5475002752828719,0.032734276386314785,0.9672657236136853,10.212000000000002,0.0017403052749513327
std,7.359800721939872,92250.82102646386,0.0005944134167318518,5.366861972074203e-06,4.7679772990458015e-05,7.805746103011528e-05,0.0006042923637119823,0.005520472288072004,0.0008754801477828938,0.004351375301839341,0.0006568125528621148,0.010328570061334953,0.006901640611870422,0.00690164061187041,0.905685743879557,0.0007196565371328355
min,1990.0,1578385.0,0.002536051337669373,2.28206425513701e-05,0.00019364691508857667,0.0005112821016418682,0.0015695151858139973,0.025234612966335956,0.004225345375479072,0.018641479710635595,0.0017815678684224697,0.5227007352452032,0.02340783226649439,0.9536561304610429,8.6,0.0007164948191260573
25%,1996.0,1652000.0,0.0028937687957212967,2.8027056889535666e-05,0.00026858628681773874,0.0005672478206724782,0.001926442542585642,0.028792799501186475,0.004895616990162787,0.021528154703964044,0.0022405476055730724,0.5445920550809507,0.02727619705879458,0.9618798316961322,9.6,0.0010747820309472086
50%,2002.0,1727564.0,0.0031231916888336646,2.9963043795803997e-05,0.00030807147258163895,0.0006424136657673253,0.0020999523848005772,0.03751938876818371,0.005832026360091512,0.028158102994287688,0.0030251118038294813,0.5515524597212509,0.03111044677648805,0.968889553223512,10.2,0.0017542598653742878
75%,2008.0,1783432.0,0.003777846919726198,3.601380048834713e-05,0.0003322687535213265,0.0006705132447948892,0.002802218114602588,0.039538184004810586,0.006318875992669518,0.02981148452373787,0.003415859564164649,0.5535030266343826,0.03812016830386782,0.9727238029412054,10.6,0.002282020444978954
max,2014.0,1881503.0,0.004514131088394468,4.23412204234122e-05,0.0003826771229148139,0.0007866568185028167,0.0034570054119061936,0.041624923640806354,0.007265536723163842,0.03179230299328039,0.003842267406038201,0.5627546475809531,0.04634386953895712,0.9765921677335057,12.3,0.002822028624766646
0,Nevada
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,2095573.88,0.006892740433308202,8.521038861205858e-05,0.00047768354738001513,0.0025166757697849956,0.0038024534540848816,0.04178478255621498,0.010350341771763985,0.024549495079661483,0.006884945704789515,0.5292012245824793,0.06549103386569821,0.9345089661343018,11.54,0.004746713241811179
std,7.359800721939872,549840.4423693689,0.0012037301192320527,2.4054581167932914e-05,0.00011082399710579332,0.0005441856451805497,0.0008007560448349022,0.010527781393467647,0.002149724124871896,0.007486523817518902,0.0021932684860606778,0.02444759528515964,0.029011119706154418,0.029011119706154418,2.689795531262553,0.002513414507659765
min,1990.0,1201833.0,0.005241568026535125,4.501963073737072e-05,0.00033565830939975616,0.001583807225513855,0.002473155354891788,0.025762602443798372,0.007478599485005301,0.014763083321201105,0.003520919637591966,0.49126853272816484,0.03984318337743801,0.8647080039452958,7.1,0.0014871170443833666
25%,1996.0,1603000.0,0.006074697975086857,6.345746253990609e-05,0.0003904719121731947,0.002102535130125706,0.0032684602175157415,0.034615468929495685,0.00844296813400441,0.01915800023613868,0.005925116051897394,0.5073301383202179,0.04393146495676657,0.9315251107108252,9.8,0.002549717741841176
50%,2002.0,2167455.0,0.006436176302232398,8.580736627637028e-05,0.0004281519108816561,0.0023612946981598232,0.0037102559238360784,0.04100853967235003,0.009734956913156977,0.022081744240105252,0.007008554994417754,0.5244182392900149,0.055590634947525044,0.944409365052475,10.9,0.004289523670205293
75%,2008.0,2600167.0,0.007488191882362417,0.00010367170626349891,0.0005992844364937388,0.0030238521168753727,0.004313569089985374,0.0526577221228384,0.01244996400287977,0.03262320648783531,0.007883124627310674,0.5535601151907847,0.06847488928917472,0.9560685350432334,13.0,0.0074145504461221685
max,2014.0,2839099.0,0.010018531228551819,0.0001372426699937617,0.0006870281400137269,0.003523678792038435,0.00569114619080302,0.056755662319835275,0.014038940809968847,0.035662091503267976,0.011164029696128303,0.5639343972346599,0.13529199605470418,0.960156816622562,17.0,0.008421866056096164
0,New Hampshire
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,1239895.84,0.0015029809734637422,1.4517557813521163e-05,0.00034097698751568836,0.00032323746150682015,0.0008124066842955662,0.023799424688325778,0.004251894912314862,0.018181917751153697,0.0013656120248572252,0.555970136716303,0.04522735562708648,0.9547726443729135,6.9079999999999995,0.0016197188939960016
std,7.359800721939872,83794.65342017155,0.0003545357521405437,5.648137499074575e-06,5.2091990930768586e-05,6.324486251888789e-05,0.0002661938490025509,0.004197942559675722,0.0011692285380404284,0.002818914131693432,0.0004950704860997862,0.004797867463797303,0.013447822342276022,0.013447822342276025,1.4485394943413408,0.0006409804061260096
min,1990.0,1105000.0,0.0009649214825323402,8.30455051620331e-06,0.00022435251483958796,0.0002139644702422877,0.0004487426049050314,0.018388927617367056,0.003078757241073852,0.014151156357536889,0.0006459086547991314,0.5488693333333333,0.026577797806383148,0.9270013462499532,4.5,0.0007644516952998082
25%,1996.0,1162000.0,0.001192760180995475,1.0639842104743165e-05,0.0003012286959968292,0.00027288888888888887,0.0005481670929241262,0.020597847623008383,0.0035609390822569946,0.015843981028223268,0.0010299819638373792,0.5512631536004938,0.03513719346935235,0.9450449806165725,5.8,0.0009458110783986586
50%,2002.0,1274405.0,0.0014409178099265253,1.3640238704177323e-05,0.0003451880558903176,0.00033033303330333035,0.000792458713433392,0.022197634125578007,0.0038821336886463668,0.017645824695662598,0.0013580562659846547,0.5565912107050373,0.0427817089191229,0.9572182910808771,6.5,0.0018449796323959002
75%,2008.0,1315828.0,0.0016949296050013509,1.6201620162016202e-05,0.0003636770769891667,0.0003563816143406146,0.0009520034728120341,0.025409407665505226,0.004530813389960934,0.01977177700348432,0.0016992771719581152,0.5604695542772807,0.05495501938342754,0.9648628065306476,7.7,0.0021628919860627177
max,2014.0,1326813.0,0.0022319403364241775,3.6199095022624436e-05,0.00044355555555555554,0.0004891820452799603,0.0014141767244216744,0.03513719154889962,0.007354505558700818,0.025342302740946152,0.0024403832492526497,0.5645165825739146,0.0729986537500468,0.9734222021936169,9.9,0.002745738610346556
0,New Jersey
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,8399628.72,0.004248837647807707,4.450779021901395e-05,0.00017868580115836544,0.0018927330820251395,0.002130002184921036,0.02970275220938978,0.006200326921950737,0.019193618734181347,0.0043088065532576915,0.5151007506617031,0.062755807522916,0.937244192477084,9.108,0.006093804049256568
std,7.359800721939872,415780.3919527431,0.001298211669468388,5.76073555573004e-06,6.766038918535286e-05,0.0006357571075725581,0.0006030097459224863,0.009618351845578538,0.0022083618496032058,0.005099749226660021,0.0023957392539029035,0.008429986224859416,0.01826577684567223,0.018265776845672228,1.2294714311442945,0.0011611478770021855
min,1990.0,7730188.0,0.002611942594545307,3.43460873388913e-05,9.661670950643337e-05,0.0011745126941461765,0.0012558492085912392,0.017340564488835808,0.003547704089481354,0.01248330895289027,0.001309551446464183,0.5007586498634569,0.0369807039631057,0.9047540542041602,6.8,0.003917547095017322
25%,1996.0,7988000.0,0.003265243224398603,4.0049291435613065e-05,0.0001195488289210322,0.0014468242857406009,0.0016299150686638578,0.02214365317663529,0.004514153149270565,0.015328831027686186,0.002324172278521527,0.5089009846274519,0.04709866213213132,0.923982976462018,8.1,0.005009663515119393
50%,2002.0,8575252.0,0.003761055651775598,4.3754057540419784e-05,0.00015324980547291785,0.0016107007671418469,0.0019349868668582567,0.026554904742158016,0.00511926646587179,0.017266081509907813,0.004058661691039712,0.5167394793278786,0.05830640959432088,0.9416935904056791,9.2,0.006520734368981897
75%,2008.0,8707739.0,0.00531534802203305,4.894229623041162e-05,0.00024254247954688484,0.00235828743114672,0.002667376064096144,0.03801414621932899,0.007919253880821231,0.02428154732098147,0.00581334501752629,0.5225978867763492,0.07601702353798201,0.9529013378678687,9.7,0.006933249652990392
max,2014.0,8938175.0,0.006475521682008252,5.5884798662076525e-05,0.0003070997560662473,0.003010146713120043,0.0031110498218154593,0.04799663345833245,0.010171550808337392,0.028549484536082474,0.009395373049141884,0.5294630572457469,0.09524594579583974,0.9630192960368943,11.4,0.008124584103512016
0,New Mexico
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,1841905.04,0.007405708439364733,8.178730725739129e-05,0.0005264781220262294,0.001213789691066786,0.005567662935583037,0.04615350420306898,0.012137081208818483,0.029899287593917804,0.004117135400332696,0.4677013593422221,0.061699557673598096,0.9383004423264021,19.951999999999998,0.002202672622963212
std,7.359800721939872,182257.983215752,0.0012266110592261711,1.8223019762646216e-05,4.8232465767769536e-05,0.00027236189787950446,0.0009832049542385633,0.009064795910782405,0.0023386414832081565,0.006237282225509124,0.0011389814009365676,0.011458474944879286,0.01149463777392579,0.011494637773925799,2.8928244560175673,0.001106032555044789
min,1990.0,1515069.0,0.005596244852510631,4.8427961249959244e-05,0.00041180098466618624,0.0007822207421125672,0.004194783877439358,0.03425894507658357,0.008872865573569266,0.021541565399898252,0.0025412493168879813,0.442715613387353,0.037505259472671616,0.9188815581441061,14.0,0.0011250389466074626
25%,1996.0,1713000.0,0.006463186369571933,6.855626141218736e-05,0.0005040462427745665,0.0010002052194793562,0.004806093261491386,0.03815746771244676,0.010459558339063537,0.02353407122842079,0.0033668433582892923,0.46791340473142123,0.05503138206318085,0.9286738219906574,17.9,0.0016399877999147534
50%,2002.0,1852044.0,0.007407491398692472,8.113463511587638e-05,0.0005239018087855297,0.0011792386981164162,0.00557978104191909,0.04345307130932095,0.010871839604150604,0.028836247950912615,0.004035631864174958,0.4721804665547903,0.06480355693892334,0.9351964430610766,20.0,0.0020484530064214827
75%,2008.0,1984356.0,0.008347545219638243,9.289740927908057e-05,0.0005489617051886346,0.0014081015719467956,0.006222971714705456,0.05499177735610373,0.013939550949913644,0.03609867172675522,0.004670533680031084,0.47438470519556336,0.07132617800934259,0.9449686179368192,21.2,0.0023310643564356435
max,2014.0,2086895.0,0.009614277489925159,0.00011500291885580852,0.0006351430239346176,0.001714450867052023,0.007319516407599309,0.06053236994219653,0.017387326913823727,0.03883699421965318,0.007171676300578035,0.4806419426109467,0.0811184418558939,0.9624947405273284,25.8,0.006478045134038847
0,New York
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,18876701.8,0.006204081555124755,6.509220942862792e-05,0.00019975194670368449,0.0027707543129063027,0.003163438077523161,0.02826710667380423,0.005529031845621082,0.019081465025866832,0.0036566098023163144,0.4880032540186199,0.06434217931556577,0.9356578206844341,15.367999999999997,0.00725751445027816
std,7.359800721939872,641138.3231257511,0.0027443794998381964,3.677038828325354e-05,5.0853766847476574e-05,0.00168216618429289,0.0009952453159167696,0.011029575669738554,0.002911758147636042,0.0050479779507842555,0.003084749657523197,0.006872557615166673,0.013826127118016543,0.013826127118016545,1.1869849760352205,0.0014563442997168404
min,1990.0,17990455.0,0.0038183497029584436,3.124647559252712e-05,0.00013073932963979918,0.001217700981559667,0.0021613318668258366,0.017182117880038553,0.002571681162178476,0.01381352498378551,0.0007861114721603925,0.47756533965593295,0.04529015077575472,0.913882395207446,13.9,0.004691697647548908
25%,1996.0,18175000.0,0.004062857179344737,4.28931380573626e-05,0.00015172769811411488,0.0016108113032367694,0.0023421379713724024,0.01987923034881462,0.0033638155038864938,0.015118787601430993,0.001287461140279186,0.48298703018930406,0.05331935139192897,0.9228318389840116,14.2,0.005985640546008154
50%,2002.0,19134293.0,0.004966475636178457,4.861437325064379e-05,0.00019580579911599973,0.0019154438060505073,0.002800364769160794,0.023104642538922134,0.004008509747394377,0.016620682039310258,0.0024754507522174976,0.4880298125037433,0.06331093563519405,0.9366890643648059,15.3,0.007539229199977945
75%,2008.0,19395206.0,0.007270057739895518,7.440197965356063e-05,0.00022952983227935111,0.0033996150673632113,0.0035665108605993953,0.03405279076161672,0.007139290624140775,0.021969865273577124,0.004943634863898818,0.4934292527374594,0.07716816101598845,0.946680648608071,16.5,0.008145687709835434
max,2014.0,19746227.0,0.011809484529435192,0.00014479900591730447,0.00029838044674245314,0.0062466457907818344,0.005119659285993601,0.05182837232299016,0.01160687709121309,0.029794243669768218,0.010427251562008855,0.5015538341473773,0.08611760479255402,0.9547098492242453,17.3,0.009912352132049518
0,North Carolina
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,8273287.92,0.005055624444511147,7.367119607149685e-05,0.00027417281427151257,0.001470358037921795,0.00323170603014134,0.04286760454462988,0.01259890517856112,0.027493319202379782,0.0027753801636889773,0.5070395970517382,0.0592451473019996,0.9407548526980003,14.42,0.0015344746851060143
std,7.359800721939872,1088302.8584296561,0.001144049207372247,2.1909765945708687e-05,5.2732160423926357e-05,0.00030854174269365876,0.00079927946441143,0.006661803465163318,0.0021028354444676497,0.004223318250717111,0.0006420173885108448,0.019713509225096387,0.022366079251237906,0.022366079251237913,1.6520189667999174,0.0007897627156351935
min,1990.0,6628637.0,0.003295164785391419,4.701024488276224e-05,0.0001749805208466161,0.0008463425651983454,0.002154171113250209,0.028730695324319357,0.007982028092619805,0.019377986485067725,0.001370680746631826,0.4725545064322437,0.03200112989531954,0.8914656665305667,11.4,0.0005417356700004143
25%,1996.0,7323000.0,0.004477974743304465,6.008651983864513e-05,0.00024895867828097937,0.0013795496921246001,0.0027622608035063182,0.04041924381186965,0.011848648106871895,0.025425013450925106,0.002836631422115889,0.49445416351944294,0.043023509471251456,0.936311267296185,13.1,0.0007141152674466327
50%,2002.0,8305820.0,0.004752213203741205,6.597783241148978e-05,0.00027095480073889534,0.0015209763334453222,0.00290988728385638,0.042708928310606936,0.012119114707212383,0.027607990541572053,0.003003495568238525,0.505348412754017,0.054859062785451204,0.9451409372145488,14.3,0.0015492750866260045
75%,2008.0,9222414.0,0.00607016835016835,8.452819882561792e-05,0.00031622895622895626,0.0016388092311894033,0.003945050505050505,0.04884471380471381,0.013468282828282828,0.03168768898488121,0.0031933729081044366,0.524468755793989,0.06368873270381506,0.9569764905287486,15.5,0.002278925035360679
max,2014.0,9943964.0,0.006809878708168932,0.00011414576220869823,0.0003587607774367967,0.0019242620590352773,0.004477276048516733,0.052303399139082676,0.016922814309039632,0.03264920083391244,0.003398857675798749,0.5365244444444445,0.10853433346943328,0.9679988701046804,17.4,0.0025875606101224127
0,North Dakota
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,651416.0,0.0013915927690715509,1.665158201245093e-05,0.0003037733198285288,0.00011294882203412366,0.0009500811191564241,0.023108574045062898,0.0035571984191809826,0.01794272044065964,0.0016086551852222755,0.5444255266391641,0.03432031084925513,0.965679689150745,11.732000000000001,0.0010561329041195292
std,7.359800721939872,29562.40159673545,0.0007910906721194706,8.630916985836512e-06,8.909211027345165e-05,4.456623222534953e-05,0.0006553177077365918,0.003317639710504664,0.00032941372693356475,0.0032383093086600667,0.00020578144734696152,0.024363024349538753,0.005527445181220276,0.005527445181220271,1.6185693271116521,0.00044601804275046046
min,1990.0,633400.0,0.0006535433070866142,1.567398119122257e-06,0.00017845961177207262,6.396255850234009e-05,0.00034087358324416965,0.017802377306638167,0.0029645923907807106,0.013543740337281677,0.0012677165354330708,0.49640629921259843,0.026675836108295933,0.9525527806792644,9.3,0.0004947959754492953
25%,1996.0,635867.0,0.0008143880411086889,1.0971786833855799e-05,0.0002346456692913386,8.367540258920114e-05,0.00045780130800373713,0.020310812011579454,0.0032591093117408905,0.015210728029603675,0.0014725573150109696,0.5334350669573341,0.02967259437432131,0.9627776085411318,10.4,0.0007467024506681673
50%,2002.0,638800.0,0.0008720748829953198,1.5781184409452298e-05,0.0002631578947368421,9.984399375975039e-05,0.0005186167704947918,0.022066334475241357,0.0035881435257410295,0.0172718779196512,0.0016059036678650472,0.5478166144200627,0.03283127531277933,0.9671687246872207,11.4,0.0009202740579258798
75%,2008.0,644000.0,0.0022463642726752624,2.173913043478261e-05,0.00037901007600646045,0.00011794919377794414,0.0015994238332857872,0.026241809672386894,0.0037275590551181102,0.020858695652173912,0.001707904325904631,0.5611577977418192,0.03722239145886824,0.9703274056256787,13.1,0.0013151326053042122
